1 2 3 4 5 6 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 12 13 14 10 15 16 17 18 19 4 20 21 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23 14 24 25 26 27 28 3 4 29 30 31 30 32 33 34 35 14 36 0 0 0 0 0 0 0 0 0
11 12 37 14 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 40 14 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 41 42 27 8 43 5 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45 46 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
45 46 47 27 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 14 50 51 27 52 25 53 16 54 55 56 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
33 58 59 48 60 1 2 61 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 54 55 63 64 65 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23 14 29 30 31 27 28 68 69 33 28 61 33 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0
71 25 72 73 74 75 25 76 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 2 78 14 26 25 24 25 79 80 81 14 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0
83 84 85 86 61 87 60 88 54 55 63 64 89 90 6 8 43 91 92 27 4 0 0 0 0 0 0 0
93 63 64 35 94 95 96 25 8 43 91 92 61 14 97 0 0 0 0 0 0 0 0 0 0 0 0 0
49 14 50 27 52 25 53 98 99 61 62 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 40 14 101 26 25 24 27 102 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
103 23 14 24 25 26 27 28 3 4 29 30 31 30 32 33 34 35 14 36 25 11 12 104 0 0 0 0
85 105 16 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 106 53 25 52 25 49 14 50 16 54 55 56 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 40 107 108 35 14 38 30 109 110 14 24 26 25 101 0 0 0 0 0 0 0 0 0 0 0 0 0
39 40 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 111 112 60 71 113 76 61 14 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 28 30 31 114 14 36 60 115 14 50 116 71 116 117 0 0 0 0 0 0 0 0 0 0 0 0 0
49 14 50 118 98 4 31 30 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
119 120 47 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 12 122 61 123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 124 30 125 61 62 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 127 128 81 129 53 130 124 30 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46 47 132 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 4 11 134 135 61 62 13 54 55 63 64 35 136 95 4 25 66 0 0 0 0 0 0 0 0 0 0
23 14 24 27 14 36 3 4 29 30 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
71 25 72 126 25 137 4 37 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 14 50 98 99 61 62 136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49 14 50 130 40 14 50 101 25 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
139 140 141 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46 47 132 142 143 25 12 144 54 127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
145 132 146 147 148 33 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
46 47 150 12 11 151 16 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 83 132 153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 83 132 154 35 155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 2 156 157 158 159 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 2 161 60 162 163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 2 132 16 164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
165 164 1 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
152 2 132 12 144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
166 123 132 167 168 25 150 12 157 169 21 170 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
22 5 12 171 25 172 5 173 171 22 35 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
11 12 46 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
46 47 132 142 153 25 174 175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
176 5 167 133 177 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
178 49 14 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
179 180 98 181 132 167 182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
178 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 5 183 184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 11 12 185 141 145 54 127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
178 1 14 2 61 62 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
178 72 14 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
186 14 10 132 187 188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2 132 189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 5 142 190 25 11 12 191 54 127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
178 49 14 50 98 192 135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
172 132 173 32 61 193 14 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 11 12 191 61 194 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
80 132 133 60 85 195 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
11 12 11 46 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
195 196 5 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
99 195 2 132 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 5 190 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
83 5 197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
165 9 198 64 65 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
80 132 167 182 60 199 200 201 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
203 204 84 46 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
204 84 46 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
103 37 14 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
40 14 38 132 133 25 205 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
33 22 35 21 209 210 35 211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
212 35 21 132 210 35 211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
